USA State,Total Cases,Total Deaths,Total Recovered,Total Infected,Active Cases,Total Tests,Population,State Abv,Total Cases per 1M,Death per 1M,Tests per 1M,Recovered per 1M,Infected per 1M
Alabama,1659936,21138,1623935.0,1695937.0,14863.0,9332317,4903185,AL,338542,4311.075352041581,1903317,331200.02610548044,345884.76673835475
Alaska,301513,1485,298902.0,304124.0,1126.0,4790640,731545,AK,412159,2029.9503106439113,6548661,408590.0388902938,415728.35574024834
Arizona,2508168,33749,2461333.0,2555003.0,13086.0,22489035,7278717,AZ,344589,4636.668797536709,3089698,338154.78744399594,351023.8136748551
Arkansas,1029976,13246,1012777.0,1047175.0,3953.0,8036831,3017804,AR,341300,4389.284393552398,2663139,335600.655310948,346999.0098760556
California,12393361,104634,12227662.0,12559060.0,61065.0,202799362,39512223,CA,313659,2648.142576032738,5132573,309465.3014081238,317852.5288238022
Colorado,1801735,15348,1776536.0,1826934.0,9851.0,21396759,5758736,CO,312870,2665.16818968607,3715530,308494.0862022499,317245.65946416016
Connecticut,983652,12354,969400.0,997904.0,1898.0,16773196,3565287,CT,275897,3465.078687914886,4704585,271899.5693754809,279894.4376707962
Delaware,336722,3463,331696.0,341748.0,1563.0,1026007,973764,DE,345794,3556.303169967261,1053651,340632.84327619424,350955.67303782026
Florida,7758207,90232,7612612.0,7903802.0,55363.0,66800091,21477737,FL,361221,4201.187490097304,3110202,354441.99731098296,367999.7571438741
Georgia,3157491,43095,3075283.0,3239699.0,39113.0,28915980,10617423,GA,297388,4058.894517059365,2723446,289644.9543359062,305130.4445532593
Hawaii,401852,2009,395053.0,408651.0,4790.0,4101166,1415872,HI,283819,1418.913574108394,2896566,279017.45355512365,288621.42905573384
Idaho,525825,5482,517984.0,533666.0,2359.0,3301678,1787065,ID,294239,3067.5996676114187,1847542,289851.79610142886,298627.07847783936
Illinois,4136659,42005,4094654.0,4178664.0,0.0,57898053,12671821,IL,326446,3314.8353342428054,4569040,323130.66922267916,329760.3398911648
Iowa,1058274,10797,1031729.0,1084819.0,15748.0,8492575,3155070,IA,335420,3422.1110783595923,2691723,327006.69081827026,343833.57580021996
Kansas,946564,10229,934730.0,958398.0,1605.0,6215342,2913314,KS,324910,3511.121698519281,2133427,320847.6669524809,328971.7483251033
Kentucky,1787563,19133,1738136.0,1836990.0,30294.0,13675281,4467673,KY,400111,4282.542612227887,3060940,389047.2736030591,411173.78107126465
Louisiana,1659969,19163,1612348.0,1707590.0,28458.0,18935316,4648794,LA,357075,4122.144366904621,4073167,346831.45779313945,367318.9218537109
Maine,326868,3110,321804.0,331932.0,1954.0,5956082,1344212,ME,243167,2313.623148729516,4430910,239399.73754139972,246934.26334536518
Maryland,1394250,16928,1371142.0,1417358.0,6180.0,25094995,6045680,MD,230619,2800.015879107065,4150897,226796.98561617552,234441.45240899286
Massachusetts,2272428,24858,2241026.0,2303830.0,6544.0,50416970,6892503,MA,329696,3606.527265929373,7314755,325139.64810751623,334251.5774022877
Michigan,3142827,43284,3082734.0,3202920.0,16809.0,28943982,9986857,MI,314696,4334.096302770731,2898207,308679.0969371044,320713.51377114945
Minnesota,1812049,15428,1793505.0,1830593.0,3116.0,24412112,5639632,MN,321306,2735.6394885340037,4328671,318018.0905420779,324594.4061598345
Mississippi,1000415,13474,984056.0,1016774.0,2885.0,7063623,2976149,MS,336144,4527.327092830366,2373410,330647.4239024995,341640.8251065387
Missouri,1780715,22778,1757937.0,1803493.0,0.0,14632189,6137428,MO,290140,3711.3266338928943,2384091,286428.9405920526,293851.5938598383
Montana,333758,3712,329725.0,337791.0,321.0,2789012,1068778,MT,312280,3473.125382446121,2609534,308506.5373725882,316053.4741545952
Nebraska,574399,5063,566979.0,581819.0,2357.0,5506012,1934408,NE,296938,2617.3382244076743,2846355,293102.07567379787,300773.67339258315
Nevada,909923,12126,891273.0,928573.0,6524.0,6875532,3080156,NV,295415,3936.813589961028,2232203,289359.69476870657,301469.4710267922
New Jersey,3123426,36266,3055814.0,3191038.0,31346.0,32419102,8882190,NJ,351650,4083.0020524217566,3649900,344038.35090219864,359262.52421981515
New Mexico,681525,9236,660313.0,702737.0,11976.0,8610078,2096829,NM,325027,4404.74640516704,4106238,314910.27642215934,335142.73219227704
New York,7122731,78103,7014253.0,7231209.0,30375.0,131503719,19453561,NY,366140,4014.8433492459294,6759879,360563.96050059935,371716.4687740204
North Dakota,293570,2513,290540.0,296600.0,517.0,2462480,762062,ND,385231,3297.6319512060695,3231338,381255.0684852414,389207.1773687705
Ohio,3504742,42522,3430857.0,3578627.0,31363.0,24766997,11689100,OH,299830,3637.747987441291,2118811,293509.08110975183,306150.7729423138
Oklahoma,1306350,16157,1288527.0,1324173.0,1666.0,5473577,3956971,OK,330139,4083.173720504901,1383274,325634.68370124523,334643.0893731594
Oregon,974924,9544,956827.0,993021.0,8553.0,12508506,4217737,OR,231149,2262.824827626758,2965691,226857.90982225776,235439.28888880459
Rhode Island,443803,4166,439178.0,448428.0,459.0,8808359,1059361,RI,418935,3932.559344737063,8314785,414568.7825019044,423300.46131583094
South Carolina,1857853,20311,1827064.0,1888642.0,10478.0,18979097,5148714,SC,360838,3944.8685632956112,3686182,354858.3199610621,366818.1996514081
Tennessee,2588139,29734,2548828.0,2627450.0,9577.0,14843622,6829174,TN,378983,4353.967258705079,2173560,373226.39604731114,384739.06214719376
Texas,8792279,94873,8598329.0,8986229.0,99077.0,73904384,28995881,TX,303225,3271.94748798976,2548789,296536.2218171609,309913.983989657
Utah,1106483,5418,1096422.0,1116544.0,4643.0,9406861,3205958,UT,345133,1689.9784713336855,2934181,341995.12283067964,348271.561885714
Vermont,154009,929,153011.0,155007.0,69.0,4184358,623989,VT,246814,1488.808296300095,6705820,245214.25858468658,248413.03292205473
Virginia,2315784,23748,2289616.0,2341952.0,2420.0,19172533,8535519,VA,271311,2782.256122914143,2246206,268245.66848249064,274377.22299018956
Washington,1989477,16151,1960007.0,2018947.0,13319.0,18887049,7614893,WA,261261,2120.9753045774905,2480278,257391.27260225452,265131.3682280237
West Virginia,657760,8188,644461.0,671059.0,5111.0,7291246,1792147,WV,367023,4568.821642421073,4068442,359602.7558007239,374444.1722693507
Wisconsin,2043838,16758,2020642.0,2067034.0,6438.0,19643258,5822434,WI,351028,2878.1777517787236,3373719,347044.20865912776,355012.0104409943
Wyoming,188851,2048,186326.0,191376.0,477.0,1572010,578759,WY,326303,3538.6058791310375,2716174,321940.5659350438,330666.132189737
